;Recettes;;;Dépenses;;;;;;Cadeau;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;VW LDD;331.65;x;"=IF(G24=""x"",F24,0)";;;Voiture/Déplacement;;;;;;;;;;;;;;;;;;
;;;;Suravenir Voiture;94.53;x;"=IF(G25=""x"",F25,0)";;;Assurances/Mutuelle;;;;;;;;;;;;;;;;;;
;;;;Suravenir Garanties Vie;19;;"=IF(G26=""x"",F26,0)";;;Assurances/Mutuelle;;;;;;;;;;;;;;;;;;
;;;;Joséphine;20;x;"=IF(G27=""x"",F27,0)";;;Divers;;;;;;;;;;;;;;;;;;
;;;;Canal Plus;21.99;x;"=IF(G28=""x"",F28,0)";;;Internet/Téléphone;;;;;;;;;;;;;;;;;;
;;;;;;;"=IF(G29=""x"",F29,0)";;;Voiture/Déplacement;;;;;;;;;;;;;;;;;;
;;;;Keolis Elouen;21.4;x;"=IF(G30=""x"",F30,0)";;;Voiture/Déplacement;;;;;;;;;;;;;;;;;;
;;;;Apple;0.99;x;"=IF(G31=""x"",F31,0)";;;Internet/Téléphone;;;;;;;;;;;;;;;;;;
;;;;Apple;0.99;x;"=IF(G32=""x"",F32,0)";;;Internet/Téléphone;;;;;;;;;;;;;;;;;;
;;;;Apple;16.99;x;"=IF(G33=""x"",F33,0)";;;Internet/Téléphone;;;;;;;;;;;;;;;;;;
;;;;St Charles;278.3;x;"=IF(G34=""x"",F34,0)";;;Scolarité;;;;;;;;;;;;;;;;;;
;;;;Ménage;102;x;"=IF(G35=""x"",F35,0)";;;Logement;;;;;;;;;;;;;;;;;;
;;;;Urssaaf;129.86;x;"=IF(G36=""x"",F36,0)";;;Logement;;;;;;;;;;;;;;;;;;
;;;;Cotisation Eurocompte;19.03;x;"=IF(G37=""x"",F37,0)";;;Charges;;;;;;;;;;;;;;;;;;
;;;;Indivision;33.89;x;"=IF(G38=""x"",F38,0)";;;Charges;;;;;;;;;;;;;;;;;;
Etat mois précédent;;='Avril 2026'!D43;;;;;;;;;;;;;;;;;;;;;;;;;;
Recettes fixes;;=SUM(C2:C6);;Somme dépenses prévues;=SUM(F2:F38);Somme dépenses réelles;=SUM(H2:H38);Delta moins les exceptions;;;;;;;;;;;;;;;;;;;;
Recettes additionnelles du mois;;=SUM(C8:C35);;Reste previsionnel;=C42-F40;Delta du mois;=C39+C40+C41-H40-F42;;;;;;;;;;;;;;;;;;;;;
Total Recettes;;=SUM(C39:C41);;Somme dépenses non prévues;=SUM(J44:J246);;;;;;;;;;;;;;;;;;;;;;;
Reste prévu;=$C$42-$F$40-$F$42;Reste réel;=$C$42-$H$40-$F$42;;;;;;;;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(#REF!)),ISBLANK(G44)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK(#REF!)),ISBLANK($G44)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK(#REF!)),ISBLANK($G44)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK(#REF!)),ISBLANK($G44)),$C$42-$H$40-$F$42,"""")";;;;;;"=IF(I44=""x"",H44,0)";Loisirs;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G44)),ISBLANK(G45)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G44)),ISBLANK($G45)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G44)),ISBLANK($G45)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G44)),ISBLANK($G45)),$C$42-$H$40-$F$42,"""")";;;;;;"=IF(I45=""x"",H45,0)";Divers;;;;;;;;;;;;;;;;;;
