;Recettes;;;Dépenses;;;;;;Cadeau;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Axa Voiture;88.03;x;"=IF(G25=""x"",F25,0)";;;Assurances/Mutuelle;;;;;;;;;;;;;;;;;;
;;;;Suravenir Garanties Vie;18.99;x;"=IF(G26=""x"",F26,0)";;;Assurances/Mutuelle;;;;;;;;;;;;;;;;;;
;;;;Joséphine;20;x;"=IF(G27=""x"",F27,0)";;;Divers;;;;;;;;;;;;;;;;;;
;;;;Canal Plus;21.99;x;"=IF(G28=""x"",F28,0)";;;Internet/Téléphone;;;;;;;;;;;;;;;;;;
;;;;;;;"=IF(G29=""x"",F29,0)";;;Voiture/Déplacement;;;;;;;;;;;;;;;;;;
;;;;Keolis Elouen;21.4;x;"=IF(G30=""x"",F30,0)";;;Voiture/Déplacement;;;;;;;;;;;;;;;;;;
;;;;Apple;0.99;x;"=IF(G31=""x"",F31,0)";;;Internet/Téléphone;;;;;;;;;;;;;;;;;;
;;;;Apple;0.99;x;"=IF(G32=""x"",F32,0)";;;Internet/Téléphone;;;;;;;;;;;;;;;;;;
;;;;Apple;16.99;x;"=IF(G33=""x"",F33,0)";;;Internet/Téléphone;;;;;;;;;;;;;;;;;;
;;;;St Charles;278.3;;"=IF(G34=""x"",F34,0)";;;Scolarité;;;;;;;;;;;;;;;;;;
;;;;Ménage;170;;"=IF(G35=""x"",F35,0)";;;Logement;;;;;;;;;;;;;;;;;;
;;;;Urssaaf;129.86;x;"=IF(G36=""x"",F36,0)";;;Logement;;;;;;;;;;;;;;;;;;
;;;;Cotisation Eurocompte;19.03;x;"=IF(G37=""x"",F37,0)";;;Charges;;;;;;;;;;;;;;;;;;
;;;;Indivision;33.89;x;"=IF(G38=""x"",F38,0)";;;Charges;;;;;;;;;;;;;;;;;;
Etat mois précédent;;='Juillet 2026'!D43;;;;;;;;;;;;;;;;;;;;;;;;;;
Recettes fixes;;=SUM(C2:C6);;Somme dépenses prévues;=SUM(F2:F38);Somme dépenses réelles;=SUM(H2:H38);Delta moins les exceptions;;;;;;;;;;;;;;;;;;;;
Recettes additionnelles du mois;;=SUM(C8:C35);;Reste previsionnel;=C42-F40;Delta du mois;=C39+C40+C41-H40-F42;;;;;;;;;;;;;;;;;;;;;
Total Recettes;;=SUM(C39:C41);;Somme dépenses non prévues;=SUM(J44:J249);;;;;;;;;;;;;;;;;;;;;;;
Reste prévu;=$C$42-$F$40-$F$42;Reste réel;=$C$42-$H$40-$F$42;;;;;;;;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(#REF!)),ISBLANK(G44)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK(#REF!)),ISBLANK($G44)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK(#REF!)),ISBLANK($G44)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK(#REF!)),ISBLANK($G44)),$C$42-$H$40-$F$42,"""")";;;;;;"=IF(I44=""x"",H44,0)";Loisirs;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G44)),ISBLANK(G45)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G44)),ISBLANK($G45)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G44)),ISBLANK($G45)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G44)),ISBLANK($G45)),$C$42-$H$40-$F$42,"""")";;;Mademoiselle;146;x;"=IF(I45=""x"",H45,0)";Vêtements;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G45)),ISBLANK(G46)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G45)),ISBLANK($G46)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G45)),ISBLANK($G46)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G45)),ISBLANK($G46)),$C$42-$H$40-$F$42,"""")";;;Maryannick;21.9;x;"=IF(I46=""x"",H46,0)";Vêtements;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G46)),ISBLANK(G47)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G46)),ISBLANK($G47)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G46)),ISBLANK($G47)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G46)),ISBLANK($G47)),$C$42-$H$40-$F$42,"""")";;;Buvette Estivales;14;x;"=IF(I47=""x"",H47,0)";Loisirs;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G47)),ISBLANK(G48)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G47)),ISBLANK($G48)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G47)),ISBLANK($G48)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G47)),ISBLANK($G48)),$C$42-$H$40-$F$42,"""")";;;Panzini;25;x;"=IF(I48=""x"",H48,0)";Vêtements;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G48)),ISBLANK(G49)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G48)),ISBLANK($G49)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G48)),ISBLANK($G49)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G48)),ISBLANK($G49)),$C$42-$H$40-$F$42,"""")";;;Boulangerie;13.2;x;"=IF(I49=""x"",H49,0)";Courses;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G49)),ISBLANK(G50)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G49)),ISBLANK($G50)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G49)),ISBLANK($G50)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G49)),ISBLANK($G50)),$C$42-$H$40-$F$42,"""")";;;Leclerc;48.21;x;"=IF(I50=""x"",H50,0)";Courses;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G50)),ISBLANK(G51)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G50)),ISBLANK($G51)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G50)),ISBLANK($G51)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G50)),ISBLANK($G51)),$C$42-$H$40-$F$42,"""")";;;Mr Bricolage;23.85;x;"=IF(I51=""x"",H51,0)";Bricolage/Travaux;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G51)),ISBLANK(G52)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G51)),ISBLANK($G52)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G51)),ISBLANK($G52)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G51)),ISBLANK($G52)),$C$42-$H$40-$F$42,"""")";;;ChargeMap;8.76;x;"=IF(I52=""x"",H52,0)";Voiture/Déplacement;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G52)),ISBLANK(G53)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G52)),ISBLANK($G53)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G52)),ISBLANK($G53)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G52)),ISBLANK($G53)),$C$42-$H$40-$F$42,"""")";;;Pharmacie;78.7;x;"=IF(I53=""x"",H53,0)";Medical;;;;;;;;;;;;;;;;;;
"=IF(AND(NOT(ISBLANK(G53)),ISBLANK(G54)),""Reste prévu"","""")";"=IF(AND(NOT(ISBLANK($G53)),ISBLANK($G54)),$C$42-$F$40-$F$42,"""")";"=IF(AND(NOT(ISBLANK($G53)),ISBLANK($G54)),""Reste réel"","""")";"=IF(AND(NOT(ISBLANK($G53)),ISBLANK($G54)),$C$42-$H$40-$F$42,"""")";;;Ikea;60.91;x;"=IF(I54=""x"",H54,0)";Bricolage/Travaux;;;;;;;;;;;;;;;;;;
